2024-05-30 13:35:22,914 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,914 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,914 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,914 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,914 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,914 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,914 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,914 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,914 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,914 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,914 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,914 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,915 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,915 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,915 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,915 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,915 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,915 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,915 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,915 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,915 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,915 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,915 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,915 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,915 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,915 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,915 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,916 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,916 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
